Campaign,Ad group,Asset type,Text,Characters,Notes
IE_Search_OnlineGP,Online_GP,Headline,Online GP Ireland,17,Pin to H1 in this group
IE_Search_OnlineGP,Online_GP,Headline,See a GP Online Today*,22,*Only if availability supports "today" — otherwise use the next line
IE_Search_OnlineGP,Online_GP,Headline,Book an Online GP in Minutes,28,
IE_Search_OnlineGP,Online_GP,Headline,Irish-Registered GPs,20,
IE_Search_OnlineGP,Online_GP,Headline,Video or Phone Consultation,27,
IE_Search_OnlineGP,Online_GP,Headline,Online GP 7 Days a Week,23,
IE_Search_OnlineGP,Online_GP,Headline,Price Shown Before You Book,27,
IE_Search_OnlineGP,Online_GP,Headline,One Tap. Real Care.,19,Brand line
IE_Search_OnlineGP,Online_GP,Headline,From Anywhere in Ireland,24,
IE_Search_OnlineGP,Online_GP,Headline,Real Doctors. Real Care.,24,
IE_Search_OnlineGP,Online_GP,Headline,No Waiting Room,15,
IE_Search_OnlineGP,Online_GP,Headline,GP4U Online GP,14,
IE_Search_OnlineGP,Online_GP,Description,See an Irish-registered GP by video or phone from anywhere in Ireland. Book in minutes.,88,
IE_Search_OnlineGP,Online_GP,Description,"Prices shown before you pay. Prescriptions, sick certs & referrals where appropriate.",83,
IE_Search_OnlineGP,Online_GP,Description,"Real GPs, secure video, private and encrypted records. Not for emergencies — call 112/999.",88,
IE_Search_OnlineGP,Online_GP,Description,"Choose a time that suits you, 7 days a week. One tap. Real care.",63,
IE_Search_OnlineGP,Online_Doctor,Headline,Online Doctor Ireland,21,Pin to H1
IE_Search_OnlineGP,Online_Doctor,Headline,Speak to a Doctor Online,24,
IE_Search_OnlineGP,Online_Doctor,Headline,Irish-Registered GPs,20,
IE_Search_OnlineGP,Online_Doctor,Headline,Video or Phone Consultation,27,
IE_Search_OnlineGP,Online_Doctor,Headline,Price Shown Before You Book,27,
IE_Search_OnlineGP,Online_Doctor,Headline,Book in Minutes,15,
IE_Search_OnlineGP,Online_Doctor,Headline,7 Days a Week,13,
IE_Search_OnlineGP,Online_Doctor,Headline,One Tap. Real Care.,19,
IE_Search_OnlineGP,Online_Doctor,Headline,A Real GP. Not a Chatbot.,25,
IE_Search_OnlineGP,Online_Doctor,Headline,GP4U — Irish Online GP,22,
IE_Search_OnlineGP,Online_Doctor,Description,Talk to a real Irish-registered GP by video or phone. Book online and pick a time.,82,
IE_Search_OnlineGP,Online_Doctor,Description,"Prescriptions sent to your pharmacy where your GP considers it appropriate.",75,
IE_Search_OnlineGP,Online_Doctor,Description,"Private, secure and clearly priced. Not for emergencies — call 112 or 999.",74,
IE_Search_OnlineGP,Online_Doctor,Description,"GP4U: online GP care from wherever you are in Ireland, 7 days a week.",68,
IE_Search_OnlineGP,Video_GP,Headline,Video GP Consultation,21,Pin to H1
IE_Search_OnlineGP,Video_GP,Headline,See a GP by Video Call,22,
IE_Search_OnlineGP,Video_GP,Headline,Virtual GP in Ireland,21,
IE_Search_OnlineGP,Video_GP,Headline,Secure Private Video,20,
IE_Search_OnlineGP,Video_GP,Headline,Irish-Registered GPs,20,
IE_Search_OnlineGP,Video_GP,Headline,Or Choose a Phone Call,22,
IE_Search_OnlineGP,Video_GP,Headline,Price Shown Before You Book,27,
IE_Search_OnlineGP,Video_GP,Headline,7 Days a Week,13,
IE_Search_OnlineGP,Video_GP,Headline,One Tap. Real Care.,19,
IE_Search_OnlineGP,Video_GP,Headline,No App Download Needed*,23,*Verify: consultation runs in the browser (it does today — PeerJS web video)
IE_Search_OnlineGP,Video_GP,Description,Join a secure video consultation with an Irish GP from your phone or computer.,77,
IE_Search_OnlineGP,Video_GP,Description,"Book online, answer a few questions, pick a time. Price shown before you pay.",76,
IE_Search_OnlineGP,Video_GP,Description,"Advice, prescriptions and sick certs where appropriate. Not for emergencies.",75,
IE_Search_OnlineGP,Video_GP,Description,GP4U — real doctors made easier. One tap. Real care.,51,
IE_Search_OnlineGP,GP_Appointment,Headline,Book a GP Online,16,Pin to H1
IE_Search_OnlineGP,GP_Appointment,Headline,Online GP Appointment,21,
IE_Search_OnlineGP,GP_Appointment,Headline,Pick a Time That Suits You,26,
IE_Search_OnlineGP,GP_Appointment,Headline,7 Days a Week,13,
IE_Search_OnlineGP,GP_Appointment,Headline,Irish-Registered GPs,20,
IE_Search_OnlineGP,GP_Appointment,Headline,Video or Phone,14,
IE_Search_OnlineGP,GP_Appointment,Headline,Clear Prices Upfront,20,
IE_Search_OnlineGP,GP_Appointment,Headline,One Tap. Real Care.,19,
IE_Search_OnlineGP,GP_Appointment,Headline,No Waiting Room,15,
IE_Search_OnlineGP,GP_Appointment,Headline,Book in a Few Minutes,21,
IE_Search_OnlineGP,GP_Appointment,Description,Can't get a GP appointment? See an Irish-registered GP online by video or phone.,80,
IE_Search_OnlineGP,GP_Appointment,Description,"Choose a service, pick a time and pay securely. You'll see the price first.",75,
IE_Search_OnlineGP,GP_Appointment,Description,"Prescriptions, sick certs and referral letters where your GP considers them appropriate.",88,
IE_Search_OnlineGP,GP_Appointment,Description,Not for emergencies — call 112 or 999. For everything else: One tap. Real care.,78,
IE_Search_Brand,Brand,Headline,GP4U — Official Site,20,Pin to H1
IE_Search_Brand,Brand,Headline,One Tap. Real Care.,19,
IE_Search_Brand,Brand,Headline,Online GP Ireland,17,
IE_Search_Brand,Brand,Headline,Book Your GP Online,19,
IE_Search_Brand,Brand,Description,GP4U — see an Irish-registered GP online by video or phone. 7 days a week.,74,
IE_Search_Brand,Brand,Description,Prices shown before you book. Newbridge walk-in clinic opening soon.,68,Remove "opening soon" at Phase 3
