"Date","Day","Week","Platform","Format","Pillar","Topic","Hook","Caption concept","CTA","Visual concept","Production","Reference","Flags"
"2026-10-05","Mon","1","IG + FB","Single image (brand card)","Meet GP4U","Welcome to GP4U","One tap. Real care.","Hello, Ireland 👋 We're GP4U — an Irish GP service run by real Irish-registered doctors.  You can see a GP online by video or phone, 7 days a week, from wherever you are in Ireland. You'll see the price before you book, and your GP will talk you through what happens next.  One tap. Real care.","Book an online GP — link in bio","Template ""announcement"": cream, badge, ""One tap. Real care."" in Fraunces, teal bar with gp4u.ie","Template, 30–60 min","Post #1 (first-30-posts.md)",""
"2026-10-06","Tue","1","TikTok + IG Reels + YT Shorts","Vertical video ~45s","Meet GP4U","One tap. Real care. — Why we built GP4U","""I'm a GP. Here's why I built GP4U.""","The problem (getting to a GP), what GP4U does, what it won't do (emergencies), the promise.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V01 (video/short-form-concepts.md)",""
"2026-10-07","Wed","1","IG + FB + LinkedIn","Carousel (5 slides)","Meet GP4U","What ""One tap. Real care."" means","Three words we built GP4U around.","""One tap"" — getting to a GP shouldn't take a week of phone calls. ""Real"" — real Irish-registered doctors. Not a chatbot, not a script. ""Care"" — the careful, personal approach of a good family GP, whichever way you see us.  That's GP4U.","Follow for plain-English GP advice","Slides: 1 slogan · 2 One tap · 3 Real · 4 Care · 5 CTA. Template ""carousel""","Template, 30–60 min","Post #2 (first-30-posts.md)",""
"2026-10-07","Wed","1","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-10-08","Thu","1","TikTok + IG Reels + YT Shorts","Vertical video ~45s","Online GP explained","What happens during an online GP consultation?","""Here's exactly what happens when you see a GP online.""","Join link, introductions, questions, advice, what can be issued, when you'd be asked to be seen in person.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V02 (video/short-form-concepts.md)",""
"2026-10-09","Fri","1","IG Reel + TikTok + FB","Video 30–45s (founder/GP to camera)","Meet GP4U","Why GP4U exists","""I'm a GP, and I built GP4U because…""","Why we built GP4U, in under a minute. (Script V01 in our video library.)","See how it works — link in bio","GP at desk, natural light; captions; 3-second brand end card","Film + edit, 1–2h","Post #3 (first-30-posts.md)",""
"2026-10-09","Fri","1","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-10-12","Mon","2","IG + FB","Carousel (6 slides)","Online GP explained","How online GP works — 4 steps","Seeing a GP online, step by step.","1️⃣ Choose a service — video, phone, repeat prescription or sick cert 2️⃣ Tell us what's going on — a short, private questionnaire 3️⃣ Pick a time and pay securely — price shown before you pay 4️⃣ Speak to your GP — join from your phone or computer  Where your GP considers it appropriate, prescriptions go straight to the pharmacy you choose.","Save this for when you need it","Template ""carousel"", one step per slide, simple line icons from the website","Template, 30–60 min","Post #4 (first-30-posts.md)",""
"2026-10-13","Tue","2","TikTok + IG Reels + YT Shorts","Vertical video ~15s","Online GP explained","Can you see a GP online in Ireland?","""Yes — you can see an Irish GP online.""","Irish-registered, video or phone, 7 days, price upfront.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V03 (video/short-form-concepts.md)",""
"2026-10-14","Wed","2","IG Reel + TikTok + FB","Video 30s","Meet GP4U","Meet the GP","""Hi, I'm Dr ___, one of the GPs at GP4U.""","Meet Dr ___ — [real name, role, Medical Council registration number if they agree to show it]. Ask them anything (general questions only 🙂) in the comments.","Follow to meet the team","Real GP portrait + short to-camera intro. **Only with a real, consenting doctor**","Film + edit, 1–2h","Post #5 (first-30-posts.md)","Needs: Real GP on camera"
"2026-10-14","Wed","2","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-10-15","Thu","2","TikTok + IG Reels + YT Shorts","Vertical video ~30s","GP education","3 reasons people delay seeing their GP","""Three reasons people put off seeing a GP.""","Time off work, ""it's probably nothing"", not wanting to waste the GP's time — why it's OK to ask.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V04 (video/short-form-concepts.md)","GP review"
"2026-10-15","Thu","2","YouTube","Explainer 3–8 min","Meet GP4U","One tap. Real care. — Why we built GP4U (long version)","""I'm a GP. Here's why I built GP4U.""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V01 long form","GP review"
"2026-10-16","Fri","2","IG + FB","Carousel (7 slides)","Online GP explained","What an online GP can help with","What can you actually see an online GP about?","Lots of everyday, non-emergency concerns — for example: • coughs, colds and sore throats • skin problems like rashes, acne or eczema flare-ups • urine infection symptoms • contraception reviews • repeat prescriptions • sick certificates  And some things need to be seen in person — your GP will tell you honestly if that's the case.","See the full list at gp4u.ie","Template ""carousel""; last slide = ""When online isn't right"" + emergency line","Template, 30–60 min","Post #6 (first-30-posts.md)","GP review"
"2026-10-17","Sat","2","TikTok + IG Reels + YT Shorts","Vertical video ~45s","GP education","When should a cough be checked by a GP?","""That cough that won't go away…""","3-week rule, red flags, emergency line.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V05 (video/short-form-concepts.md)","GP review"
"2026-10-19","Mon","3","IG + FB","Carousel (6 slides)","GP education","When to seek GP care — and when it's an emergency","GP, pharmacy or 112? A quick guide.","Pharmacy: minor ailments and advice on over-the-counter treatments. GP (online or in person): symptoms that aren't improving, new or ongoing problems, prescriptions, certificates. 112 / 999 or the Emergency Department: chest pain, severe difficulty breathing, signs of a stroke, heavy bleeding, collapse, a seizure, or a severe allergic reaction.  If you're not sure, don't wait — ask.","Share with someone who needs this","Three-column ""traffic light"" graphic in brand colours (teal / sand / warm) — not red alarm styling","Template, 30–60 min","Post #7 (first-30-posts.md)","GP review"
"2026-10-20","Tue","3","TikTok + IG Reels + YT Shorts","Vertical video ~45s","Online GP explained","Online GP vs walk-in GP — what's the difference?","""Online or in person — which do you need?""","What suits online; what needs examination; our Newbridge clinic (opening soon).","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V06 (video/short-form-concepts.md)",""
"2026-10-21","Wed","3","IG + FB","Carousel FAQ (5 slides)","Online GP explained","FAQ — your first online consultation","Your questions about online GP, answered.","• Are the doctors Irish-registered? Yes. • Video or phone? Your choice. • How much? Shown before you pay — see gp4u.ie/fees. • Prescriptions? Where your GP considers them appropriate, sent to your chosen pharmacy. • Emergencies? No — call 112 or 999.","More answers at gp4u.ie/faq","Template ""faq""","Template, 30–60 min","Post #8 (first-30-posts.md)",""
"2026-10-21","Wed","3","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-10-22","Thu","3","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Behind GP4U","Meet the people behind GP4U","""Meet the team.""","Real team introductions (consent).","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V07 (video/short-form-concepts.md)",""
"2026-10-23","Fri","3","IG Stories + TikTok","Behind the scenes (photos/video)","Behind GP4U","Building GP4U","What goes into building a GP service from scratch?","Late nights, a lot of testing, and a lot of thinking about privacy. A peek behind GP4U.","Follow the journey","Laptop, notebook, whiteboard of the booking flow (no patient data), coffee","Template, 30–60 min","Post #9 (first-30-posts.md)",""
"2026-10-23","Fri","3","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
